100;CHI-1920-BL;CHI-1920-BL;Chips blau;5;0;5;01-400-03;PLOCKA
100;BAL-3840-HB;BAL-3840-HB;Plueschball klein hellblau 1.5 cm;5;0;5;02-800-03;PLOCKA
101;CLK-2420-HB;CLK-2420-HB;Clips klein hellblau 6 cm;2;0;2;02-100-02;PLOCKA
101;WKL-2320-BL;WKL-2320-BL;Wascheklammer blau;2;0;2;03-800-02;PLOCKA
101;CD-1110-BE;CD-1110-BE;CD-Beatles;1;0;1;01-100-07;PLOCKA
101;BAU-3090-GE;BAU-3090-GE;Baustein 2x3 gelb;6;0;6;04-700-04;PLOCKA
101;BAU-3440-BL;BAU-3440-BL;Baustein 2x8 blau;1;0;1;05-500-03;PLOCKA
101;JEN-1510-RS;JEN-1510-RS;Jenga rosa;5;0;5;01-300-01;PLOCKA
101;STA-3940-OR;STA-3940-OR;Holzstab orange;8;0;8;05-100-04;PLOCKA
101;DOM-4880-HB;DOM-4880-HB;Dominostein hellblau;3;0;3;03-200-02;PLOCKA
102;MUR-4160-DR;MUR-4160-DR;Holzmurmel dunkelrosa;6;0;6;02-500-05;PLOCKA
102;GUM-4010-GL;GUM-4010-GL;Gummiball blau;2;0;2;03-300-02;PLOCKA
102;BAU-3360-RO;BAU-3360-RO;Baustein 1x2 schraeg rot;3;0;3;05-400-01;PLOCKA
102;HOL-1610-HO;HOL-1610-HO;Holzwuerfel ;4;0;4;01-300-07;PLOCKA
102;DUP-2010-RO;DUP-2010-RO;Duplostein rot;6;0;6;01-400-04;PLOCKA
102;HER-4700-WE;HER-4700-WE;Holzherz;5;0;5;02-800-01;PLOCKA
102;BAU-3580-OR;BAU-3580-OR;Baustein 1x6 orange;2;0;2;05-700-05;PLOCKA
102;CLG-2580-PI;CLG-2580-PI;Clips groﬂ pink 12 cm;2;0;2;02-300-05;PLOCKA
103;ZAH-4610-29;ZAH-4610-29;Holzzahlen;30;0;30;02-700-06;PLOCKA
103;GUM-4040-GE;GUM-4040-GE;Gummiball pink;3;0;3;03-300-03;PLOCKA
103;CHI-1920-BL;CHI-1920-BL;Chips blau;5;0;5;01-400-03;PLOCKA
103;DUP-2020-GE;DUP-2020-GE;Duplostein gelb;5;0;5;01-400-06;PLOCKA
103;CLG-2600-SW;CLG-2600-SW;Clips groﬂ schwarz 12 cm;1;0;1;02-400-01;PLOCKA
103;JEN-1530-DB;JEN-1530-DB;Jenga dunkelblau;3;0;3;01-300-03;PLOCKA
103;NGA-1820-KU;NGA-1820-KU;Nylongarn 0,3mm;2;0;2;01-300-12;PLOCKA
103;BAU-3050-WE;BAU-3050-WE;Baustein 2x3 weiﬂ;2;0;2;04-600-06;PLOCKA
104;BAU-3270-LI;BAU-3270-LI;Baustein 1x8 lila;1;0;1;05-200-04;PLOCKA
104;WAS-1330-LI;WAS-1330-LI;Waschmaschine;2;0;2;01-200-06;PLOCKA
104;USB-1210-RO;USB-1210-RO;USB-Stick Rot;2;0;2;01-200-01;PLOCKA
104;CLM-2530-SW;CLM-2530-SW;Clips mittel schwarz 8 cm;2;0;2;02-200-06;PLOCKA
104;CLM-2490-HB;CLM-2490-HB;Clips mittel hellblau 8 cm;1;0;1;02-200-03;PLOCKA
105;CLK-2430-PI;CLK-2430-PI;Clips klein pink 6 cm;2;0;2;02-100-03;PLOCKA
105;PEN-1430-HB;PEN-1430-HB;Touch Pen hellblau;2;0;2;01-200-09;PLOCKA
105;PEN-1420-SW;PEN-1420-SW;Touch Pen schwarz;1;0;1;01-200-08;PLOCKA
105;WKL-2340-WE;WKL-2340-WE;Wascheklammer weiﬂ;3;0;3;03-800-04;PLOCKA
105;BAU-2940-GU;BAU-2940-GU;Baustein 2x2 gruen;5;0;5;04-500-01;PLOCKA
